Period,Monthly energy production,Distributed Monthly energy production,Panel degradation,Energy generation,Minimum Fees,Monthly installment,Cashflow,Net cashflow
0,0,0,0,0,,0,-23405.899999999994,-23405.899999999994
1,2245.0833333,1774.6999397376567,0.0004167,1773.9604223,,18.9588194,232.9755576,-23172.924
2,2245.0833333,2037.6086745390078,0.0008333,2035.9107352,,18.9588194,270.6583184,-22902.266
3,2245.0833333,2272.744466516786,0.00125,2269.9035359,,18.9588194,304.4811946,-22597.785
4,2245.0833333,2462.014463408707,0.0016667,2457.9110239,,18.9588194,331.8513139,-22265.934
5,2245.0833333,2589.7793554258174,0.0020833,2584.3840681,,18.9588194,350.5131226,-21915.42
6,2245.0833333,2644.98219395186,0.0025,2638.3697385,,18.9588194,358.8545438,-21556.566
7,2245.0833333,2622.7273056837385,0.0029167,2615.077597,,18.9588194,356.13707,-21200.429
8,2245.0833333,2524.996777612736,0.0033333,2516.5802059,,18.9588194,342.6036877,-20857.825
9,2245.0833333,2360.3591509734483,0.00375,2351.5078042,,18.9588194,319.4430478,-20538.382
10,2245.0833333,2142.729672836461,0.0041667,2133.8015611,,18.9588194,288.617501,-20249.765
11,2245.0833333,1889.4307706408777,0.0045833,1880.7709426,,18.9588194,252.5888941,-19997.176
12,2245.0833333,1618.9272286729006,0.005,1610.8325925,,18.9588194,213.9955518,-19783.18
13,2245.0833333,1774.6999397376567,0.0054167,1765.0869226,,18.9588194,236.7205023,-19546.46
14,2245.0833333,2037.6086745390078,0.0058333,2025.7226919,,18.9588194,274.9532345,-19271.506
15,2245.0833333,2272.744466516786,0.00625,2258.5398136,,18.9588194,309.2663643,-18962.24
16,2245.0833333,2462.014463408707,0.0066667,2445.6009516,,18.9588194,337.0291657,-18625.211
17,2245.0833333,2589.7793554258174,0.0070833,2571.4351713,,18.9588194,355.953557,-18269.257
18,2245.0833333,2644.98219395186,0.0075,2625.1448275,,18.9588194,364.4046942,-17904.853
19,2245.0833333,2622.7273056837385,0.0079167,2601.9639604,,18.9588194,361.6343236,-17543.218
20,2245.0833333,2524.996777612736,0.0083333,2503.955222,,18.9588194,347.8901313,-17195.328
21,2245.0833333,2360.3591509734483,0.00875,2339.7060084,,18.9588194,324.379221,-16870.949
22,2245.0833333,2142.729672836461,0.0091667,2123.0879127,,18.9588194,293.0934864,-16577.856
23,2245.0833333,1889.4307706408777,0.0095833,1871.3237887,,18.9588194,256.5312946,-16321.324
24,2245.0833333,1618.9272286729006,0.01,1602.7379564,,18.9588194,217.3697061,-16103.955
25,2245.0833333,1774.6999397376567,0.0104167,1756.2134229,,18.9588194,240.4151229,-15863.539
26,2245.0833333,2037.6086745390078,0.0108333,2015.5346485,,18.9588194,279.1903715,-15584.349
27,2245.0833333,2272.744466516786,0.01125,2247.1760913,,18.9588194,313.9870873,-15270.362
28,2245.0833333,2462.014463408707,0.0116667,2433.2908793,,18.9588194,342.1372039,-14928.225
29,2245.0833333,2589.7793554258174,0.0120833,2558.4862745,,18.9588194,361.3205547,-14566.904
30,2245.0833333,2644.98219395186,0.0125,2611.9199165,,18.9588194,369.8798426,-14197.024
31,2245.0833333,2622.7273056837385,0.0129167,2588.8503239,,18.9588194,367.0572062,-13829.967
32,2245.0833333,2524.996777612736,0.0133333,2491.3302381,,18.9588194,353.1049753,-13476.862
33,2245.0833333,2360.3591509734483,0.01375,2327.9042126,,18.9588194,329.2484631,-13147.614
34,2245.0833333,2142.729672836461,0.0141667,2112.3742644,,18.9588194,297.5087119,-12850.105
35,2245.0833333,1889.4307706408777,0.0145833,1861.8766349,,18.9588194,260.4201177,-12589.685
36,2245.0833333,1618.9272286729006,0.015,1594.6433202,,18.9588194,220.6979536,-12368.987
37,2245.0833333,1774.6999397376567,0.0154167,1747.3399232,,18.9588194,244.0594196,-12124.927
38,2245.0833333,2037.6086745390078,0.0158333,2005.3466051,,18.9588194,283.3697294,-11841.558
39,2245.0833333,2272.744466516786,0.01625,2235.8123689,,18.9588194,318.6433636,-11522.914
40,2245.0833333,2462.014463408707,0.0166667,2420.980807,,18.9588194,347.1754282,-11175.739
41,2245.0833333,2589.7793554258174,0.0170833,2545.5373778,,18.9588194,366.6141158,-10809.125
42,2245.0833333,2644.98219395186,0.0175,2598.6950056,,18.9588194,375.2799889,-10433.845
43,2245.0833333,2622.7273056837385,0.0179167,2575.7366874,,18.9588194,372.4057179,-10061.439
44,2245.0833333,2524.996777612736,0.0183333,2478.7052542,,18.9588194,358.2482195,-9703.191
45,2245.0833333,2360.3591509734483,0.01875,2316.1024169,,18.9588194,334.050774,-9369.14
46,2245.0833333,2142.729672836461,0.0191667,2101.660616,,18.9588194,301.8631773,-9067.277
